"date","statement","falsehood","analysis","category","keywords"
" Oct 22","Falsely said, in a separate speech, “(My) largest tax reductions are for the middle class.”","Falsely described his own tax plan","Clinton is only raising taxes on the highest earners. The Tax Policy Center says most residents below the top 1 per cent will receive minor tax cuts under her plan, and even most of the highest earners will not see a doubling. Meanwhile, experts say the overwhelming majority of Trump’s cuts will go to the rich. Half are for the top 1 per cent, according to the Tax Policy Center, and some middle-class families will pay even more than they do now. Most families below the top 20 per cent of earners are expected to reap income gains of less than 1 per cent.","Clinton's policies",""
" Oct 24","Falsely said, “We’re giving you massive tax relief for the middle class.”","Falsely described his own tax plan","Experts say the overwhelming majority of Trump’s cuts will go to the rich. Half are for the top 1 per cent, according to the Tax Policy Center, and some middle-class families will pay even more than they do now. Most families below the top 20 per cent of earners are expected to reap income gains of less than 1 per cent.","Clinton's policies",""
" Oct 21","Falsely said of pollsters, “They say, ‘We can’t poll this thing.”","Falsely accused a poll of being phony","Pollsters are not saying this.","Polls",""
" Oct 24","Falsely said, “Like the ABC phony poll that just came in. Totally phony poll.”","Falsely accused a poll of being phony","The ABC poll is a legitimate poll.","Polls",""
" Oct 24","Falsely said of polls, “When they leave them alone and do them properly, I’m leading … they’re polling Democrats.”","Falsely accused a poll of being phony","Pollsters are conducting legitimate polls. Trump is losing in almost all of them.","Polls",""
" Oct 25","Falsely said, “Look at that one poll that came out, ABC/Washington Post. That was a Democratic poll. They’re rigging the system.""","Falsely accused a poll of being phony","He is referring to a recent ABC poll, not an ABC/Washington Post poll. It was a legitimate independent poll. Trump could fairly question the composition of its sample, as some Trump supporters have done, but he crosses the line into falsehood when he calls it “a Democratic poll” and suggests it was “rigged.”","Polls",""
" Oct 25","Falsely said, “You know, they even put phony polls out there, Rush. You take a look at some of these polls; they're totally phony.”","Falsely accused a poll of being phony","None of the public polls that showed Trump trailing is “phony.”","Polls",""
" Oct 24","Falsely said, “The new poll that just came out from Investor’s Business Daily, which was the most accurate poll from the last three presidential elections, has us up two points nationwide.”","Poll from IBD","The IBD poll is a tracking poll that changes daily; as of the moment Trump spoke, Clinton had a 0.1 per cent lead in it. She leads by 0.8 points in it. The IBD poll was not the most accurate poll in the last election.","Polls",""
" Oct 25","Falsely said, “The IBD poll just came out and we’re two points up.”","Poll from IBD","The Investor’s Business Daily poll is a tracking poll that comes out daily. By the time Trump spoke, he was down by nearly one point.","Polls",""
" Sep 27","Falsely said of the Drudge Report online debate poll: “I got almost 90 per cent of the vote.”","Polls say he won a debate","This is an exaggeration. Trump got 82 per cent in Drudge’s unscientific poll.","Polls",""
" Sep 27","Falsely claimed to have won a CBS post-debate poll.","Polls say he won a debate","“We did not conduct a post-debate poll,” CBS White House correspondent Major Garrett wrote on Twitter.","Polls",""
" Sep 27","Falsely said, “Almost every single poll had us winning the debate against Crooked Hillary Clinton. Big league. Big league.”","Polls say he won a debate","The only “polls” that had him winning were unscientific online polls anyone could click. In legitimate polls, such as the ones conducted by CNN and Public Policy Polling, he lost.","Polls",""
" Sep 28","Falsely said, “Every single poll that was taken, I won the debate, and some of them by a lot.”","Polls say he won a debate","Trump won only in unscientific online polls anyone can click. He lost in every scientific poll — CNN, Public Policy Polling, Eschelon, YouGov, Morning Consult.","Polls",""
" Oct 21","Falsely said on Twitter, “The results are in on the final debate and it is almost unanimous, I WON! Thank you, these are very exciting times.”","Polls say he won a debate","Trump actually lost every scientific poll on the debate – CNN, YouGov, Morning Consult, NBC.","Polls",""
" Oct 23","Falsely said, “Everybody said I won the third debate.”","Polls say he won a debate","Trump was judged the loser in every scientific poll.","Polls",""
" Oct 24","Falsely said, “Everybody had me winning the third debate.”","Polls say he won a debate","False. Trump lost in every scientific poll.","Polls",""
" Oct 24","Falsely said, “I won the last two debates, and every poll showed it.”","Polls say he won a debate","False. Trump lost in every scientific poll.","Polls",""
" Sep 24","Falsely said, “We’re just about tied in Virginia.”","Polls say he's tied in...","Clinton leads by an average of 5 percentage points.","Polls",""
" Sep 28","Falsely said, “We’re doing great in Virginia because nobody likes Kaine.”","Polls say he's tied in...","Trump is not doing great in Virginia: he has trailed in 15 consecutive polls, and he is down by an average of seven points. Also, Kaine’s popularity there — 50 per cent approve/37 per cent disapprove in a recent poll — is far higher than Trump’s, 34 per cent favourable/60 per cent unfavourable in the same poll.","Polls",""
